UniprotAccession	Organism	Kingdom	ProteinLength	TMHelixFirst90
Q6IQ49	Homo sapiens	Metazoa	451	False
Q9M7N6	Solanum lycopersicum	Viridiplantae	152	False
P80484	Amphidinium carterae	Other	370	False
P50875	Saccharomyces cerevisiae	Fungi	604	False
Q9Y5U8	Homo sapiens	Metazoa	109	True
Q9H4Q4	Homo sapiens	Metazoa	367	False
Q9CPY0	Mus musculus	Metazoa	246	False
Q08050	Homo sapiens	Metazoa	763	False
P17540	Homo sapiens	Metazoa	419	False
Q53S58	Homo sapiens	Metazoa	311	True
P15315	Saccharomyces cerevisiae	Fungi	225	False
Q00055	Saccharomyces cerevisiae	Fungi	391	False
A0A1D9BZF0	Mus musculus	Metazoa	507	False
Q9U2M1	Caenorhabditis elegans	Metazoa	1499	False
Q11120	Schizosaccharomyces pombe	Fungi	515	False
Q920Q0	Rattus norvegicus	Metazoa	383	False
Q56XY2	Arabidopsis thaliana	Viridiplantae	298	False
O13801	Schizosaccharomyces pombe	Fungi	596	False
Q03825	Saccharomyces cerevisiae	Fungi	758	False
Q0VG06	Homo sapiens	Metazoa	881	False
Q9WUB6	Mus musculus	Metazoa	687	True
Q3ED65	Arabidopsis thaliana	Viridiplantae	261	False
O75937	Homo sapiens	Metazoa	253	False
P00966	Homo sapiens	Metazoa	412	False
O70258	Mus musculus	Metazoa	437	False
P38198	Saccharomyces cerevisiae	Fungi	1513	False
P20484	Saccharomyces cerevisiae	Fungi	414	False
Q8WXF8	Homo sapiens	Metazoa	326	False
Q9SE43	Arabidopsis thaliana	Viridiplantae	842	False
A0A1D5PRR9	Gallus gallus	Metazoa	2041	False
Q9SB31	Arabidopsis thaliana	Viridiplantae	404	False
Q93442	Caenorhabditis elegans	Metazoa	2862	False
Q9FN03	Arabidopsis thaliana	Viridiplantae	440	False
P50896	Saccharomyces cerevisiae	Fungi	841	False
Q6IPU0	Homo sapiens	Metazoa	288	False
Q90ZS6	Xenopus laevis	Metazoa	1271	False
Q9NZN9	Homo sapiens	Metazoa	384	False
P11914	Saccharomyces cerevisiae	Fungi	482	False
Q9SF47	Arabidopsis thaliana	Viridiplantae	904	False
P34087	Saccharomyces cerevisiae	Fungi	171	False
O15504	Homo sapiens	Metazoa	423	False
Q8BZ97	Mus musculus	Metazoa	688	False
Q8GSJ6	Arabidopsis thaliana	Viridiplantae	154	True
P53254	Saccharomyces cerevisiae	Fungi	1237	False
Q23544	Caenorhabditis elegans	Metazoa	508	True
Q940M2	Arabidopsis thaliana	Viridiplantae	476	False
P80002	Sepia officinalis	Metazoa	77	False
P53255	Saccharomyces cerevisiae	Fungi	507	False
Q8IUG5	Homo sapiens	Metazoa	2567	False
Q9Z2D6	Mus musculus	Metazoa	484	False
P53153	Saccharomyces cerevisiae	Fungi	274	True
Q9XIB5	Arabidopsis thaliana	Viridiplantae	226	False
P51810	Homo sapiens	Metazoa	404	True
P25649	Saccharomyces cerevisiae	Fungi	128	False
P10518	Mus musculus	Metazoa	330	False
C4R8D7	Komagataella phaffii	Fungi	409	False
P0DW81	Homo sapiens	Metazoa	44	False
G5EGE9	Caenorhabditis elegans	Metazoa	1263	False
Q64442	Mus musculus	Metazoa	357	False
Q8MLZ3	Dictyostelium discoideum	Other	867	False
Q99836	Homo sapiens	Metazoa	296	False
Q9STY4	Arabidopsis thaliana	Viridiplantae	599	False
O95990	Homo sapiens	Metazoa	144	False
P53072	Saccharomyces cerevisiae	Fungi	289	False
Q06163	Saccharomyces cerevisiae	Fungi	884	False
A6NK89	Homo sapiens	Metazoa	507	False
Q9VWC6	Drosophila melanogaster	Metazoa	1596	False
P17655	Homo sapiens	Metazoa	700	False
Q10574	Caenorhabditis elegans	Metazoa	142	False
Q9Y2K1	Homo sapiens	Metazoa	713	False
P70500	Rattus norvegicus	Metazoa	213	True
Q96PV7	Homo sapiens	Metazoa	902	False
Q9JMA2	Mus musculus	Metazoa	403	False
O95900	Homo sapiens	Metazoa	331	False
Q9LVD0	Arabidopsis thaliana	Viridiplantae	289	False
Q9ER99	Mus musculus	Metazoa	582	False
P40362	Saccharomyces cerevisiae	Fungi	594	False
Q8WZK0	Schizosaccharomyces pombe	Fungi	695	False
P05085	Saccharomyces cerevisiae	Fungi	880	False
Q9SU56	Arabidopsis thaliana	Viridiplantae	610	True
P22907	Mus musculus	Metazoa	361	False
Q20716	Caenorhabditis elegans	Metazoa	267	False
P36078	Saccharomyces cerevisiae	Fungi	116	False
Q9H1Z4	Homo sapiens	Metazoa	485	False
Q95QI7	Caenorhabditis elegans	Metazoa	892	False
P38749	Saccharomyces cerevisiae	Fungi	330	False
Q9HBM0	Homo sapiens	Metazoa	779	False
F4I3V6	Arabidopsis thaliana	Viridiplantae	192	False
E9Q7G0	Mus musculus	Metazoa	2094	False
Q9SGY2	Arabidopsis thaliana	Viridiplantae	423	False
Q9FVR6	Arabidopsis thaliana	Viridiplantae	296	False
Q5BLX8	Rattus norvegicus	Metazoa	315	False
Q7YUD6	Plasmodium falciparum	Other	669	True
Q8SX83	Drosophila melanogaster	Metazoa	5560	False
Q9FNJ9	Arabidopsis thaliana	Viridiplantae	482	False
Q5RI15	Homo sapiens	Metazoa	118	True
F1MH24	Bos taurus	Metazoa	957	False
Q9UF56	Homo sapiens	Metazoa	701	False
O14174	Schizosaccharomyces pombe	Fungi	473	False
P47158	Saccharomyces cerevisiae	Fungi	497	False
P0C7R1	Arabidopsis thaliana	Viridiplantae	239	False
Q43157	Spinacia oleracea	Viridiplantae	285	False
A1XBS5	Homo sapiens	Metazoa	289	False
O35826	Rattus norvegicus	Metazoa	722	False
O55227	Rattus norvegicus	Metazoa	259	True
A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644	False
Q03702	Saccharomyces cerevisiae	Fungi	353	False
Q9FMS5	Arabidopsis thaliana	Viridiplantae	672	False
P54198	Homo sapiens	Metazoa	1017	False
P21727	Pisum sativum	Viridiplantae	402	False
Q99PQ2	Mus musculus	Metazoa	467	False
O94972	Homo sapiens	Metazoa	964	False
Q8CEG8	Mus musculus	Metazoa	438	False
Q6P1X5	Homo sapiens	Metazoa	1199	False
Q86W42	Homo sapiens	Metazoa	341	False
A0A075TRC0	Penicillium expansum	Fungi	1776	False
Q96WW3	Schizosaccharomyces pombe	Fungi	117	False
Q8WUM0	Homo sapiens	Metazoa	1156	False
Q8CG46	Mus musculus	Metazoa	1101	False
Q9NZP6	Homo sapiens	Metazoa	1156	False
P31111	Saccharomyces cerevisiae	Fungi	875	False
Q498E2	Rattus norvegicus	Metazoa	182	False
Q8S1D9	Oryza sativa subsp. japonica	Viridiplantae	435	False
P34253	Saccharomyces cerevisiae	Fungi	313	False
O81242	Arabidopsis thaliana	Viridiplantae	355	False
Q8WUU5	Homo sapiens	Metazoa	269	False
Q9Y5Y5	Homo sapiens	Metazoa	336	True
Q9XH32	Spinacia oleracea	Viridiplantae	222	False
Q62141	Mus musculus	Metazoa	1098	False
Q1K7P9	Neurospora crassa	Fungi	140	False
O60141	Schizosaccharomyces pombe	Fungi	299	False
P53921	Saccharomyces cerevisiae	Fungi	115	False
Q8L940	Arabidopsis thaliana	Viridiplantae	309	False
Q9R1M5	Mus musculus	Metazoa	1163	False
P21826	Saccharomyces cerevisiae	Fungi	554	False
Q91YD4	Mus musculus	Metazoa	1506	False
O80669	Arabidopsis thaliana	Viridiplantae	141	False
G5EGB2	Caenorhabditis elegans	Metazoa	459	False
O43508	Homo sapiens	Metazoa	249	True
Q9VWF2	Drosophila melanogaster	Metazoa	2006	False
P07390	Saccharomyces cerevisiae	Fungi	489	False
Q02793	Saccharomyces cerevisiae	Fungi	397	False
A0A061ACU2	Caenorhabditis elegans	Metazoa	2442	True
P06778	Saccharomyces cerevisiae	Fungi	471	False
Q8TEH3	Homo sapiens	Metazoa	1009	False
P0C2X8	Xenopus laevis	Metazoa	363	False
P05066	Saccharomyces cerevisiae	Fungi	565	False
P52927	Mus musculus	Metazoa	108	False
Q9C7C4	Arabidopsis thaliana	Viridiplantae	327	False
Q5A287	Candida albicans	Fungi	805	False
Q24562	Drosophila melanogaster	Metazoa	416	False
Q8W4B2	Arabidopsis thaliana	Viridiplantae	333	False
Q01501	Dictyostelium discoideum	Other	275	False
Q98TA5	Xenopus laevis	Metazoa	896	False
Q42545	Arabidopsis thaliana	Viridiplantae	433	False
Q21773	Caenorhabditis elegans	Metazoa	489	False
Q9H649	Homo sapiens	Metazoa	340	False
Q09814	Schizosaccharomyces pombe	Fungi	239	False
Q8IDM6	Plasmodium falciparum	Other	422	True
O59669	Schizosaccharomyces pombe	Fungi	139	False
Q06679	Saccharomyces cerevisiae	Fungi	776	False
O54957	Mus musculus	Metazoa	242	True
Q8IY22	Homo sapiens	Metazoa	773	False
Q9LEK8	Digitalis lanata	Viridiplantae	118	False
P53991	Chlamydomonas reinhardtii	Viridiplantae	354	False
O43543	Homo sapiens	Metazoa	280	False
Q8BXP5	Mus musculus	Metazoa	385	False
O18017	Caenorhabditis elegans	Metazoa	988	False
Q12158	Saccharomyces cerevisiae	Fungi	566	False
Q63342	Rattus norvegicus	Metazoa	857	False
H3K2Y6	Arabidopsis thaliana	Viridiplantae	2235	False
P15847	Plasmodium falciparum	Other	184	False
P25846	Saccharomyces cerevisiae	Fungi	959	False
O94494	Schizosaccharomyces pombe	Fungi	277	False
Q9FNN6	Arabidopsis thaliana	Viridiplantae	298	False
A6H8H2	Mus musculus	Metazoa	1906	False
Q9P0S2	Homo sapiens	Metazoa	106	True
O08573	Mus musculus	Metazoa	353	False
P56394	Mus musculus	Metazoa	63	False
P39994	Saccharomyces cerevisiae	Fungi	560	False
P40848	Schizosaccharomyces pombe	Fungi	991	False
P40366	Saccharomyces cerevisiae	Fungi	167	False
D2K8N5	Nicotiana benthamiana	Viridiplantae	403	False
A0A1S4BDC4	Nicotiana tabacum	Viridiplantae	790	False
Q03338	Saccharomyces cerevisiae	Fungi	469	False
Q58DZ9	Rattus norvegicus	Metazoa	258	False
Q9UT32	Schizosaccharomyces pombe	Fungi	373	False
Q9V4P1	Drosophila melanogaster	Metazoa	1239	False
Q13342	Homo sapiens	Metazoa	867	False
Q9C685	Arabidopsis thaliana	Viridiplantae	211	False
Q9C7S5	Arabidopsis thaliana	Viridiplantae	1095	True
Q9USX8	Schizosaccharomyces pombe	Fungi	239	False
Q8K1N1	Mus musculus	Metazoa	776	False
P32524	Saccharomyces cerevisiae	Fungi	280	False
P46984	Saccharomyces cerevisiae	Fungi	123	False
P33418	Saccharomyces cerevisiae	Fungi	1100	False
Q02931	Saccharomyces cerevisiae	Fungi	896	False
Q2HXU8	Homo sapiens	Metazoa	276	True
O44997	Caenorhabditis elegans	Metazoa	1425	False
Q4AE62	Homo sapiens	Metazoa	458	False
Q22355	Caenorhabditis elegans	Metazoa	377	False
Q9NK54	Drosophila melanogaster	Metazoa	1711	False
Q9V4C8	Drosophila melanogaster	Metazoa	1500	False
P07271	Saccharomyces cerevisiae	Fungi	859	False
P07910	Homo sapiens	Metazoa	306	False
Q9CQC7	Mus musculus	Metazoa	129	True
Q9UUB6	Schizosaccharomyces pombe	Fungi	300	False
Q96255	Arabidopsis thaliana	Viridiplantae	430	False
Q5I2A0	Mus musculus	Metazoa	440	False
Q6IQ55	Homo sapiens	Metazoa	1244	False
Q9P6M0	Schizosaccharomyces pombe	Fungi	419	False
P20941	Homo sapiens	Metazoa	246	False
Q9VAB8	Drosophila melanogaster	Metazoa	457	False
Q9SZI6	Arabidopsis thaliana	Viridiplantae	352	False
Q9P7E0	Schizosaccharomyces pombe	Fungi	79	True
Q92540	Homo sapiens	Metazoa	1137	False
O55236	Mus musculus	Metazoa	597	False
Q04110	Saccharomyces cerevisiae	Fungi	302	False
Q3E7Y6	Saccharomyces cerevisiae	Fungi	73	False
Q9M7J4	Nicotiana tabacum	Viridiplantae	722	False
P31376	Saccharomyces cerevisiae	Fungi	625	False
Q7RZ62	Neurospora crassa	Fungi	347	False
Q60560	Mesocricetus auratus	Metazoa	989	False
Q9GTP5	Crithidia fasciculata	Other	497	True
P42945	Saccharomyces cerevisiae	Fungi	1769	False
Q07418	Saccharomyces cerevisiae	Fungi	342	False
P22469	Drosophila melanogaster	Metazoa	90	False
P18239	Saccharomyces cerevisiae	Fungi	318	True
Q9Y6D6	Homo sapiens	Metazoa	1849	False
Q9VIV2	Drosophila melanogaster	Metazoa	1062	False
Q08923	Saccharomyces cerevisiae	Fungi	506	False
Q91836	Xenopus laevis	Metazoa	298	False
P19476	Entamoeba histolytica	Other	233	False
Q32P44	Homo sapiens	Metazoa	896	False
Q9P7G0	Schizosaccharomyces pombe	Fungi	707	False
P39522	Saccharomyces cerevisiae	Fungi	585	False
Q02749	Saccharomyces cerevisiae	Fungi	293	False
P09959	Saccharomyces cerevisiae	Fungi	803	False
O49660	Arabidopsis thaliana	Viridiplantae	491	True
Q9CQ75	Mus musculus	Metazoa	99	False
Q14157	Homo sapiens	Metazoa	1087	False
P50591	Homo sapiens	Metazoa	281	True
Q9XIK0	Arabidopsis thaliana	Viridiplantae	179	False
Q9H9A7	Homo sapiens	Metazoa	625	False
Q9DBR0	Mus musculus	Metazoa	687	False
Q8IV76	Homo sapiens	Metazoa	773	False
Q9D494	Mus musculus	Metazoa	218	False
P10834	Saccharomyces cerevisiae	Fungi	293	False
O14497	Homo sapiens	Metazoa	2285	False
Q4WIN1	Aspergillus fumigatus	Fungi	988	False
O47027	Chlamydomonas reinhardtii	Viridiplantae	570	False
Q12493	Saccharomyces cerevisiae	Fungi	238	False
Q99JS0	Mus musculus	Metazoa	100	True
Q8IJH8	Plasmodium falciparum	Other	275	False
Q4V8P4	Rattus norvegicus	Metazoa	168	False
Q8BHK1	Mus musculus	Metazoa	323	True
Q8IUR7	Homo sapiens	Metazoa	673	False
O95376	Homo sapiens	Metazoa	493	False
Q9GYU8	Drosophila melanogaster	Metazoa	702	False
Q8BM75	Mus musculus	Metazoa	1188	False
B4XT64	Oryza sativa subsp. japonica	Viridiplantae	582	False
Q92597	Homo sapiens	Metazoa	394	False
B4FUP5	Zea mays	Viridiplantae	253	False
Q9U1H0	Drosophila melanogaster	Metazoa	1832	False
Q06672	Saccharomyces cerevisiae	Fungi	205	False
Q75Q41	Rattus norvegicus	Metazoa	142	True
Q62711	Rattus norvegicus	Metazoa	772	False
Q7TSH3	Mus musculus	Metazoa	1157	False
V5ILE0	Neurospora crassa	Fungi	428	False
P63002	Mus musculus	Metazoa	197	False
P54783	Saccharomyces cerevisiae	Fungi	526	False
P30542	Homo sapiens	Metazoa	326	True
O74968	Schizosaccharomyces pombe	Fungi	249	False
Q93WG3	Arabidopsis thaliana	Viridiplantae	294	False
Q9UUH3	Schizosaccharomyces pombe	Fungi	277	False
Q4WGS5	Aspergillus fumigatus	Fungi	577	True
Q9H078	Homo sapiens	Metazoa	707	False
O17850	Caenorhabditis elegans	Metazoa	317	False
Q9LHF5	Arabidopsis thaliana	Viridiplantae	602	False
O74824	Schizosaccharomyces pombe	Fungi	308	False
Q9V3H8	Drosophila melanogaster	Metazoa	133	False
Q9BW91	Homo sapiens	Metazoa	350	False
P11638	Neurospora crassa	Fungi	816	False
Q9HBH1	Homo sapiens	Metazoa	243	False
Q9Z0P7	Mus musculus	Metazoa	484	False
Q9P805	Schizosaccharomyces pombe	Fungi	127	False
Q9BX79	Homo sapiens	Metazoa	667	True
O94444	Schizosaccharomyces pombe	Fungi	243	False
Q8GYC7	Arabidopsis thaliana	Viridiplantae	313	False
Q04477	Saccharomyces cerevisiae	Fungi	213	False
A0A0S2UWC9	Petunia hybrida	Viridiplantae	249	False
Q9Z110	Mus musculus	Metazoa	795	False
Q96CJ1	Homo sapiens	Metazoa	260	False
A0A0D1E6B3	Mycosarcoma maydis	Fungi	435	True
Q8R0S1	Mus musculus	Metazoa	413	False
P13002	Drosophila melanogaster	Metazoa	1333	False
Q9D1F4	Mus musculus	Metazoa	257	False
Q5T890	Homo sapiens	Metazoa	1550	False
P01098	Saccharomyces cerevisiae	Fungi	86	False
P40043	Saccharomyces cerevisiae	Fungi	161	False
Q6VNB8	Mus musculus	Metazoa	3508	False
O77932	Homo sapiens	Metazoa	396	False
Q92624	Homo sapiens	Metazoa	585	False
A0A120KVR8	Trypanosoma brucei brucei	Other	1728	False
B0XTT5	Aspergillus fumigatus	Fungi	247	False
O74792	Schizosaccharomyces pombe	Fungi	515	False
Q9N5R9	Caenorhabditis elegans	Metazoa	1030	False
O74489	Schizosaccharomyces pombe	Fungi	329	False
Q96247	Arabidopsis thaliana	Viridiplantae	485	True
G5EGU9	Caenorhabditis elegans	Metazoa	558	False
Q8VDS3	Mus musculus	Metazoa	158	False
F4HZG9	Arabidopsis thaliana	Viridiplantae	493	False
Q7TMF2	Mus musculus	Metazoa	345	False
Q9FJG1	Arabidopsis thaliana	Viridiplantae	90	False
B8ZXI1	Mus musculus	Metazoa	415	False
P38205	Saccharomyces cerevisiae	Fungi	684	False
Q91YT0	Mus musculus	Metazoa	464	False
Q12368	Saccharomyces cerevisiae	Fungi	194	False
Q9URV3	Schizosaccharomyces pombe	Fungi	296	False
A2YMU2	Oryza sativa subsp. indica	Viridiplantae	266	False
P06367	Saccharomyces cerevisiae	Fungi	137	False
Q9QX74	Rattus norvegicus	Metazoa	1474	False
Q01663	Schizosaccharomyces pombe	Fungi	552	False
Q5BJX1	Rattus norvegicus	Metazoa	134	False
P82352	Oryctolagus cuniculus	Metazoa	238	True
Q9SQR5	Arabidopsis thaliana	Viridiplantae	554	False
Q9VPH0	Drosophila melanogaster	Metazoa	869	False
O95059	Homo sapiens	Metazoa	124	False
V5IRA3	Neurospora crassa	Fungi	95	False
O95782	Homo sapiens	Metazoa	977	False
Q8LGI2	Arabidopsis thaliana	Viridiplantae	454	False
Q96HA9	Homo sapiens	Metazoa	241	False
Q9DA19	Mus musculus	Metazoa	450	False
Q9USL4	Schizosaccharomyces pombe	Fungi	549	False
P43586	Saccharomyces cerevisiae	Fungi	204	False
Q0WPF2	Arabidopsis thaliana	Viridiplantae	808	False
Q99675	Homo sapiens	Metazoa	332	False
Q96524	Arabidopsis thaliana	Viridiplantae	612	False
Q5VYK3	Homo sapiens	Metazoa	1845	False
P27516	Dunaliella salina	Viridiplantae	172	False
Q84JL7	Arabidopsis thaliana	Viridiplantae	330	False
Q6K1E7	Mus musculus	Metazoa	370	False
P08433	Scyliorhinus canicula	Metazoa	51	False
Q9BRU2	Homo sapiens	Metazoa	100	False
P91082	Caenorhabditis elegans	Metazoa	317	False
Q42876	Solanum lycopersicum	Viridiplantae	569	False
Q9UK73	Homo sapiens	Metazoa	627	False
Q9C8R8	Arabidopsis thaliana	Viridiplantae	711	False
Q94AV5	Arabidopsis thaliana	Viridiplantae	459	False
Q10337	Schizosaccharomyces pombe	Fungi	849	False
O74563	Schizosaccharomyces pombe	Fungi	680	False
Q60974	Mus musculus	Metazoa	2453	False
Q8BYM8	Mus musculus	Metazoa	551	False
Q9Y7U4	Schizosaccharomyces pombe	Fungi	328	False
A0A509AKI1	Plasmodium berghei	Other	836	False
Q9NGX9	Drosophila melanogaster	Metazoa	489	False
P27882	Saccharomyces cerevisiae	Fungi	189	False
Q9NYL2	Homo sapiens	Metazoa	800	False
P38282	Saccharomyces cerevisiae	Fungi	291	False
Q8GXN9	Arabidopsis thaliana	Viridiplantae	930	False
Q949W6	Arabidopsis thaliana	Viridiplantae	485	False
O55081	Rattus norvegicus	Metazoa	1135	False
Q05344	Drosophila melanogaster	Metazoa	723	False
Q9M9U5	Arabidopsis thaliana	Viridiplantae	382	False
P32342	Saccharomyces cerevisiae	Fungi	167	False
Q8N4H5	Homo sapiens	Metazoa	51	True
H2L0G5	Caenorhabditis elegans	Metazoa	1367	False
Q924H7	Mus musculus	Metazoa	646	False
Q08949	Saccharomyces cerevisiae	Fungi	612	False
Q1MTQ7	Schizosaccharomyces pombe	Fungi	633	False
Q9H227	Homo sapiens	Metazoa	469	False
Q8LJT8	Arabidopsis thaliana	Viridiplantae	743	False
O14503	Homo sapiens	Metazoa	412	False
P11020	Scyliorhinus canicula	Metazoa	80	False
P18859	Homo sapiens	Metazoa	108	False
Q811I0	Mus musculus	Metazoa	324	False
P40096	Saccharomyces cerevisiae	Fungi	142	False
F4JF14	Arabidopsis thaliana	Viridiplantae	953	False
Q8I8U7	Drosophila melanogaster	Metazoa	3790	False
P49793	Rattus norvegicus	Metazoa	1816	False
Q7L4E1	Homo sapiens	Metazoa	593	True
P07249	Saccharomyces cerevisiae	Fungi	177	False
P0CS82	Saccharomyces cerevisiae	Fungi	1483	False
P50077	Saccharomyces cerevisiae	Fungi	2039	False
O00712	Homo sapiens	Metazoa	420	False
Q9CQF3	Mus musculus	Metazoa	227	False
Q8W234	Arabidopsis thaliana	Viridiplantae	877	False
P25584	Saccharomyces cerevisiae	Fungi	144	True
Q8LDV3	Arabidopsis thaliana	Viridiplantae	185	False
Q8K440	Mus musculus	Metazoa	1620	True
Q60547	Mesocricetus auratus	Metazoa	234	False
Q02606	Saccharomyces cerevisiae	Fungi	381	False
Q9UST6	Schizosaccharomyces pombe	Fungi	198	False
Q13286	Homo sapiens	Metazoa	438	True
Q12340	Saccharomyces cerevisiae	Fungi	786	False
O74889	Schizosaccharomyces pombe	Fungi	1024	False
Q9VSA3	Drosophila melanogaster	Metazoa	419	False
P22068	Schizosaccharomyces pombe	Fungi	525	False
P21784	Mus musculus	Metazoa	527	False
P34218	Saccharomyces cerevisiae	Fungi	831	False
Q558Z2	Dictyostelium discoideum	Other	905	False
P36527	Saccharomyces cerevisiae	Fungi	147	False
Q9LDD5	Arabidopsis thaliana	Viridiplantae	373	False
Q9VU86	Drosophila melanogaster	Metazoa	1873	False
Q68DK7	Homo sapiens	Metazoa	614	False
Q6P2H3	Homo sapiens	Metazoa	762	False
Q9UBF8	Homo sapiens	Metazoa	816	False
Q5SUE7	Mus musculus	Metazoa	619	False
Q96A72	Homo sapiens	Metazoa	148	False
Q9VGH1	Drosophila melanogaster	Metazoa	520	False
P38996	Saccharomyces cerevisiae	Fungi	802	False
P53833	Saccharomyces cerevisiae	Fungi	195	False
O04479	Arabidopsis thaliana	Viridiplantae	199	False
P46997	Saccharomyces cerevisiae	Fungi	583	False
Q06149	Saccharomyces cerevisiae	Fungi	701	False
P43686	Homo sapiens	Metazoa	418	False
Q8CGB3	Mus musculus	Metazoa	1411	False
Q23045	Caenorhabditis elegans	Metazoa	470	False
O13855	Schizosaccharomyces pombe	Fungi	455	False
P49789	Homo sapiens	Metazoa	147	False
B9U3F2	Gallus gallus	Metazoa	1338	True
O08590	Rattus norvegicus	Metazoa	763	True
Q587J8	Homo sapiens	Metazoa	217	False
O60336	Homo sapiens	Metazoa	1514	False
Q8R2K4	Mus musculus	Metazoa	616	False
Q16514	Homo sapiens	Metazoa	161	False
Q9H9D4	Homo sapiens	Metazoa	720	False
