UniprotAccession	Organism	Kingdom	ProteinLength	SPPosition	label	TMHelixFirst90	Fold	Set
Q6UXH1	Homo sapiens	Metazoa	353	24.0	positive	N/A	ac	train
Q6UXL0	Homo sapiens	Metazoa	311	29.0	positive	N/A	ae	train
Q7Z5A7	Homo sapiens	Metazoa	132	43.0	positive	N/A	ad	train
Q86T13	Homo sapiens	Metazoa	490	21.0	positive	N/A	ab	train
Q86Y78	Homo sapiens	Metazoa	171	22.0	positive	N/A	ad	train
Q86YT9	Homo sapiens	Metazoa	394	19.0	positive	N/A	ad	train
Q8N4F0	Homo sapiens	Metazoa	458	20.0	positive	N/A	ad	train
Q8N6C8	Homo sapiens	Metazoa	439	23.0	positive	N/A	ae	train
Q8NBJ9	Homo sapiens	Metazoa	832	18.0	positive	N/A	ad	bench
Q8NBL1	Homo sapiens	Metazoa	392	23.0	positive	N/A	ae	train
Q8NI17	Homo sapiens	Metazoa	732	19.0	positive	N/A	ae	bench
Q96HF1	Homo sapiens	Metazoa	295	24.0	positive	N/A	ac	train
Q9BZM5	Homo sapiens	Metazoa	246	25.0	positive	N/A	ae	train
Q9H9K5	Homo sapiens	Metazoa	563	26.0	positive	N/A	ac	train
Q9NPF0	Homo sapiens	Metazoa	282	35.0	positive	N/A	ae	train
Q9NPG1	Homo sapiens	Metazoa	666	22.0	positive	N/A	ae	train
Q9NR16	Homo sapiens	Metazoa	1453	40.0	positive	N/A	aa	bench
Q9NYY1	Homo sapiens	Metazoa	176	24.0	positive	N/A	ad	train
Q9UKY0	Homo sapiens	Metazoa	176	25.0	positive	N/A	aa	train
Q9Y240	Homo sapiens	Metazoa	323	21.0	positive	N/A	ad	train
Q9Y5U5	Homo sapiens	Metazoa	241	25.0	positive	N/A	ad	train
O14791	Homo sapiens	Metazoa	398	27.0	positive	N/A	ad	train
O76076	Homo sapiens	Metazoa	250	23.0	positive	N/A	aa	train
O95633	Homo sapiens	Metazoa	263	26.0	positive	N/A	ae	train
P01033	Homo sapiens	Metazoa	207	23.0	positive	N/A	ac	bench
P01148	Homo sapiens	Metazoa	92	23.0	positive	N/A	ad	train
P01588	Homo sapiens	Metazoa	193	27.0	positive	N/A	ae	bench
P02760	Homo sapiens	Metazoa	352	19.0	positive	N/A	ac	train
P02763	Homo sapiens	Metazoa	201	18.0	positive	N/A	aa	train
P02765	Homo sapiens	Metazoa	367	18.0	positive	N/A	ac	train
P04196	Homo sapiens	Metazoa	525	18.0	positive	N/A	ad	train
P05113	Homo sapiens	Metazoa	134	19.0	positive	N/A	ae	train
P07602	Homo sapiens	Metazoa	524	16.0	positive	N/A	ac	bench
P08069	Homo sapiens	Metazoa	1367	30.0	positive	N/A	ae	train
P08514	Homo sapiens	Metazoa	1039	31.0	positive	N/A	ad	bench
P10163	Homo sapiens	Metazoa	310	16.0	positive	N/A	ab	bench
P11021	Homo sapiens	Metazoa	654	18.0	positive	N/A	ab	train
P11150	Homo sapiens	Metazoa	499	22.0	positive	N/A	ae	bench
P14209	Homo sapiens	Metazoa	185	22.0	positive	N/A	aa	train
P15018	Homo sapiens	Metazoa	202	22.0	positive	N/A	ae	bench
P16144	Homo sapiens	Metazoa	1822	27.0	positive	N/A	ab	train
P20062	Homo sapiens	Metazoa	427	18.0	positive	N/A	aa	train
P24821	Homo sapiens	Metazoa	2201	22.0	positive	N/A	ac	train
P26010	Homo sapiens	Metazoa	798	19.0	positive	N/A	ad	train
P28906	Homo sapiens	Metazoa	385	31.0	positive	N/A	ae	train
P29320	Homo sapiens	Metazoa	983	20.0	positive	N/A	ae	bench
P29459	Homo sapiens	Metazoa	219	22.0	positive	N/A	ab	train
P31025	Homo sapiens	Metazoa	176	18.0	positive	N/A	ae	bench
P48307	Homo sapiens	Metazoa	235	22.0	positive	N/A	ab	train
P51460	Homo sapiens	Metazoa	131	20.0	positive	N/A	ac	train
P54803	Homo sapiens	Metazoa	685	42.0	positive	N/A	aa	train
P56202	Homo sapiens	Metazoa	376	21.0	positive	N/A	ae	bench
P60568	Homo sapiens	Metazoa	153	20.0	positive	N/A	ae	train
P61916	Homo sapiens	Metazoa	151	19.0	positive	N/A	ab	bench
Q01638	Homo sapiens	Metazoa	556	18.0	positive	N/A	ac	train
Q07092	Homo sapiens	Metazoa	1604	21.0	positive	N/A	ab	train
Q07654	Homo sapiens	Metazoa	80	21.0	positive	N/A	aa	bench
Q08334	Homo sapiens	Metazoa	325	19.0	positive	N/A	ac	train
Q5UCC4	Homo sapiens	Metazoa	262	25.0	positive	N/A	ac	train
Q6UW56	Homo sapiens	Metazoa	229	30.0	positive	N/A	ad	train
Q8NC67	Homo sapiens	Metazoa	525	22.0	positive	N/A	ac	train
Q8TD06	Homo sapiens	Metazoa	166	21.0	positive	N/A	ac	train
Q8TDQ1	Homo sapiens	Metazoa	290	19.0	positive	N/A	ab	train
Q8WUJ3	Homo sapiens	Metazoa	1361	30.0	positive	N/A	ae	train
Q92765	Homo sapiens	Metazoa	325	32.0	positive	N/A	ab	train
Q969P0	Homo sapiens	Metazoa	613	27.0	positive	N/A	aa	train
Q969Z4	Homo sapiens	Metazoa	430	25.0	positive	N/A	ae	train
Q96AP7	Homo sapiens	Metazoa	390	29.0	positive	N/A	ae	train
Q96BF3	Homo sapiens	Metazoa	282	22.0	positive	N/A	ac	bench
Q96LA5	Homo sapiens	Metazoa	508	19.0	positive	N/A	ad	bench
Q99935	Homo sapiens	Metazoa	248	21.0	positive	N/A	ad	train
Q99969	Homo sapiens	Metazoa	163	20.0	positive	N/A	ac	train
Q9BWV1	Homo sapiens	Metazoa	1114	30.0	positive	N/A	ad	train
Q9BX74	Homo sapiens	Metazoa	207	37.0	positive	N/A	ae	train
Q9BXJ3	Homo sapiens	Metazoa	329	16.0	positive	N/A	ad	train
Q9H5V8	Homo sapiens	Metazoa	836	29.0	positive	N/A	ab	bench
Q9NPR2	Homo sapiens	Metazoa	837	43.0	positive	N/A	ad	train
Q9NQ25	Homo sapiens	Metazoa	335	22.0	positive	N/A	aa	train
Q9NRM6	Homo sapiens	Metazoa	502	17.0	positive	N/A	ac	bench
Q9NS68	Homo sapiens	Metazoa	423	29.0	positive	N/A	aa	bench
Q9NSA1	Homo sapiens	Metazoa	209	28.0	positive	N/A	ad	bench
Q9NZ53	Homo sapiens	Metazoa	605	32.0	positive	N/A	ad	train
Q9P0V8	Homo sapiens	Metazoa	285	22.0	positive	N/A	ad	train
Q9P246	Homo sapiens	Metazoa	746	14.0	positive	N/A	ab	train
Q9P2K2	Homo sapiens	Metazoa	825	27.0	positive	N/A	aa	train
Q9UBN6	Homo sapiens	Metazoa	386	55.0	positive	N/A	ad	bench
Q9UNE0	Homo sapiens	Metazoa	448	26.0	positive	N/A	ad	bench
O00206	Homo sapiens	Metazoa	839	23.0	positive	N/A	aa	train
O14786	Homo sapiens	Metazoa	923	21.0	positive	N/A	ad	train
O43278	Homo sapiens	Metazoa	529	35.0	positive	N/A	aa	train
O43291	Homo sapiens	Metazoa	252	27.0	positive	N/A	ab	train
O60609	Homo sapiens	Metazoa	400	31.0	positive	N/A	ad	train
O60844	Homo sapiens	Metazoa	167	16.0	positive	N/A	ae	bench
O75462	Homo sapiens	Metazoa	422	37.0	positive	N/A	ac	train
O95715	Homo sapiens	Metazoa	111	34.0	positive	N/A	ae	train
P00450	Homo sapiens	Metazoa	1065	19.0	positive	N/A	ab	bench
P01137	Homo sapiens	Metazoa	390	29.0	positive	N/A	ad	train
P01350	Homo sapiens	Metazoa	101	21.0	positive	N/A	ae	train
P01591	Homo sapiens	Metazoa	159	22.0	positive	N/A	ac	bench
P02810	Homo sapiens	Metazoa	166	16.0	positive	N/A	aa	train
P02814	Homo sapiens	Metazoa	79	22.0	positive	N/A	ad	train
P05160	Homo sapiens	Metazoa	661	20.0	positive	N/A	ab	train
P07204	Homo sapiens	Metazoa	575	18.0	positive	N/A	ae	bench
P09486	Homo sapiens	Metazoa	303	17.0	positive	N/A	ab	bench
P10124	Homo sapiens	Metazoa	158	27.0	positive	N/A	ad	train
P11215	Homo sapiens	Metazoa	1152	16.0	positive	N/A	ac	train
P11717	Homo sapiens	Metazoa	2491	40.0	positive	N/A	ac	train
P13611	Homo sapiens	Metazoa	3396	20.0	positive	N/A	ad	train
P14625	Homo sapiens	Metazoa	803	21.0	positive	N/A	ad	bench
P17301	Homo sapiens	Metazoa	1181	29.0	positive	N/A	ab	train
P17813	Homo sapiens	Metazoa	658	25.0	positive	N/A	aa	train
P18428	Homo sapiens	Metazoa	481	25.0	positive	N/A	ad	bench
P19320	Homo sapiens	Metazoa	739	24.0	positive	N/A	ac	train
P20333	Homo sapiens	Metazoa	461	22.0	positive	N/A	ad	bench
P22894	Homo sapiens	Metazoa	467	20.0	positive	N/A	aa	train
P25116	Homo sapiens	Metazoa	425	21.0	positive	N/A	ac	train
P25311	Homo sapiens	Metazoa	298	20.0	positive	N/A	ad	bench
P32004	Homo sapiens	Metazoa	1257	19.0	positive	N/A	ab	train
P34998	Homo sapiens	Metazoa	415	23.0	positive	N/A	ab	train
P51688	Homo sapiens	Metazoa	502	20.0	positive	N/A	aa	train
P52823	Homo sapiens	Metazoa	247	17.0	positive	N/A	ae	train
P55083	Homo sapiens	Metazoa	255	21.0	positive	N/A	aa	train
P55899	Homo sapiens	Metazoa	365	23.0	positive	N/A	aa	train
P81605	Homo sapiens	Metazoa	110	19.0	positive	N/A	ad	train
Q08380	Homo sapiens	Metazoa	585	18.0	positive	N/A	ad	train
Q13145	Homo sapiens	Metazoa	260	20.0	positive	N/A	ac	train
Q13231	Homo sapiens	Metazoa	466	21.0	positive	N/A	ac	train
Q13445	Homo sapiens	Metazoa	227	23.0	positive	N/A	ac	train
Q13651	Homo sapiens	Metazoa	578	21.0	positive	N/A	ab	train
Q14210	Homo sapiens	Metazoa	128	20.0	positive	N/A	aa	train
Q15768	Homo sapiens	Metazoa	340	27.0	positive	N/A	ae	train
Q16552	Homo sapiens	Metazoa	155	23.0	positive	N/A	aa	bench
Q6E0U4	Homo sapiens	Metazoa	476	21.0	positive	N/A	ad	train
Q6UXB2	Homo sapiens	Metazoa	119	21.0	positive	N/A	ab	train
Q8N441	Homo sapiens	Metazoa	504	24.0	positive	N/A	ad	train
Q8N766	Homo sapiens	Metazoa	993	22.0	positive	N/A	ab	train
Q8TC27	Homo sapiens	Metazoa	787	16.0	positive	N/A	ae	train
Q8TCT8	Homo sapiens	Metazoa	520	25.0	positive	N/A	ab	train
Q92643	Homo sapiens	Metazoa	395	27.0	positive	N/A	ad	train
Q969H8	Homo sapiens	Metazoa	173	31.0	positive	N/A	ac	train
Q96BY9	Homo sapiens	Metazoa	339	30.0	positive	N/A	ac	train
Q96F46	Homo sapiens	Metazoa	866	32.0	positive	N/A	ad	train
Q96HE7	Homo sapiens	Metazoa	468	23.0	positive	N/A	ac	train
Q99519	Homo sapiens	Metazoa	415	47.0	positive	N/A	ae	train
Q9BX59	Homo sapiens	Metazoa	468	18.0	positive	N/A	aa	bench
Q9BXJ7	Homo sapiens	Metazoa	453	19.0	positive	N/A	ab	train
Q9BZR6	Homo sapiens	Metazoa	473	26.0	positive	N/A	ac	train
Q9H6E4	Homo sapiens	Metazoa	229	22.0	positive	N/A	ad	train
Q9HBE5	Homo sapiens	Metazoa	538	19.0	positive	N/A	ad	train
Q9NPA0	Homo sapiens	Metazoa	242	23.0	positive	N/A	ac	train
Q9NQ34	Homo sapiens	Metazoa	198	33.0	positive	N/A	ae	train
Q9UHF4	Homo sapiens	Metazoa	553	29.0	positive	N/A	ac	train
Q9UIK5	Homo sapiens	Metazoa	374	40.0	positive	N/A	ab	bench
Q9UKZ9	Homo sapiens	Metazoa	415	23.0	positive	N/A	aa	train
Q9Y251	Homo sapiens	Metazoa	543	35.0	positive	N/A	aa	train
Q9Y279	Homo sapiens	Metazoa	399	19.0	positive	N/A	ab	train
F1N5C8	Bos taurus	Metazoa	445	22.0	positive	N/A	ad	bench
P01131	Bos taurus	Metazoa	845	21.0	positive	N/A	ad	train
P02702	Bos taurus	Metazoa	241	19.0	positive	N/A	ac	bench
P0CX77	Saccharomyces cerevisiae	Fungi	362	25.0	positive	N/A	ab	train
P10493	Mus musculus	Metazoa	1245	28.0	positive	N/A	ab	train
P10820	Mus musculus	Metazoa	554	20.0	positive	N/A	ab	bench
P12024	Drosophila melanogaster	Metazoa	1315	29.0	positive	N/A	ac	train
P14630	Rattus norvegicus	Metazoa	190	17.0	positive	N/A	ad	bench
P16636	Rattus norvegicus	Metazoa	411	21.0	positive	N/A	ad	train
P21956	Mus musculus	Metazoa	463	22.0	positive	N/A	ac	train
P30919	Rattus norvegicus	Metazoa	345	23.0	positive	N/A	ae	train
P31096	Bos taurus	Metazoa	278	16.0	positive	N/A	ab	train
P32478	Saccharomyces cerevisiae	Fungi	413	18.0	positive	N/A	aa	bench
P41543	Saccharomyces cerevisiae	Fungi	476	22.0	positive	N/A	ac	train
P42264	Rattus norvegicus	Metazoa	919	31.0	positive	N/A	ac	bench
P43497	Saccharomyces cerevisiae	Fungi	92	20.0	positive	N/A	ab	train
P48439	Saccharomyces cerevisiae	Fungi	350	22.0	positive	N/A	ac	train
P53616	Saccharomyces cerevisiae	Fungi	420	24.0	positive	N/A	ae	train
Q00954	Rattus norvegicus	Metazoa	218	18.0	positive	N/A	ae	train
Q01965	Mus musculus	Metazoa	654	47.0	positive	N/A	aa	train
Q08481	Mus musculus	Metazoa	727	17.0	positive	N/A	ac	train
Q28173	Bos taurus	Metazoa	416	22.0	positive	N/A	ad	train
Q61885	Mus musculus	Metazoa	246	28.0	positive	N/A	aa	train
Q62192	Mus musculus	Metazoa	661	20.0	positive	N/A	aa	bench
Q64385	Mus musculus	Metazoa	432	23.0	positive	N/A	ae	train
Q7KRU8	Drosophila melanogaster	Metazoa	205	19.0	positive	N/A	ac	train
Q7TQN3	Mus musculus	Metazoa	571	29.0	positive	N/A	ac	train
Q8BHP7	Mus musculus	Metazoa	681	32.0	positive	N/A	ae	bench
Q8BPM6	Mus musculus	Metazoa	367	31.0	positive	N/A	ad	train
Q8BSU2	Mus musculus	Metazoa	246	26.0	positive	N/A	ad	train
Q8RUW5	Arabidopsis thaliana	Viridiplantae	433	19.0	positive	N/A	ab	train
Q8SXL2	Drosophila melanogaster	Metazoa	136	24.0	positive	N/A	aa	train
Q8T1G4	Dictyostelium discoideum	Other	181	19.0	positive	N/A	ae	train
Q91XZ4	Mus musculus	Metazoa	772	28.0	positive	N/A	aa	train
Q94K85	Arabidopsis thaliana	Viridiplantae	359	26.0	positive	N/A	ae	bench
Q99372	Rattus norvegicus	Metazoa	870	27.0	positive	N/A	aa	train
Q9D6Y1	Mus musculus	Metazoa	273	21.0	positive	N/A	ab	bench
Q9ES58	Rattus norvegicus	Metazoa	327	23.0	positive	N/A	aa	train
Q9GL30	Bos taurus	Metazoa	545	35.0	positive	N/A	ae	train
O55038	Mus musculus	Metazoa	109	21.0	positive	N/A	aa	train
P00635	Saccharomyces cerevisiae	Fungi	467	17.0	positive	N/A	ab	train
P01027	Mus musculus	Metazoa	1663	24.0	positive	N/A	aa	train
P04925	Mus musculus	Metazoa	254	22.0	positive	N/A	aa	train
P04937	Rattus norvegicus	Metazoa	2477	24.0	positive	N/A	ac	train
P07507	Bos taurus	Metazoa	103	19.0	positive	N/A	ae	train
P08505	Mus musculus	Metazoa	211	24.0	positive	N/A	aa	train
P12729	Dictyostelium discoideum	Other	168	19.0	positive	N/A	ae	train
P16382	Mus musculus	Metazoa	810	25.0	positive	N/A	ac	bench
P16882	Mus musculus	Metazoa	650	24.0	positive	N/A	ad	train
P17164	Rattus norvegicus	Metazoa	462	28.0	positive	N/A	ac	train
P17697	Bos taurus	Metazoa	439	19.0	positive	N/A	ab	train
P18181	Mus musculus	Metazoa	240	22.0	positive	N/A	ad	bench
P20826	Mus musculus	Metazoa	273	25.0	positive	N/A	aa	train
P32803	Saccharomyces cerevisiae	Fungi	203	20.0	positive	N/A	ad	train
P45478	Bos taurus	Metazoa	306	27.0	positive	N/A	aa	bench
P54837	Saccharomyces cerevisiae	Fungi	211	20.0	positive	N/A	ab	train
