Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A7J6K7I9	reviewed	WNG2_TOXGO	Serine/threonine-protein kinase WNG2 (EC 2.7.11.1) (Rhoptry kinase family protein ROP34) (With-No-Gly-loop kinase 2)	ROP34 WNG2 TGRH88_030990	Toxoplasma gondii	553
A0A7J6K7Y0	reviewed	WNG1_TOXGO	Serine/threonine-protein kinase WNG1 (EC 2.7.11.1) (Rhoptry kinase family protein ROP35) (With-No-Gly-loop kinase 1)	ROP35 WNG1 TGRH88_033260	Toxoplasma gondii	640
A0A7M6UMR7	reviewed	HEX11_APIME	Hexamerin 110 (High Glx storage protein)	Hex110 551648	Apis mellifera (Honeybee)	1010
A0A8U0WQF3	reviewed	HEX7A_APIME	Hexamerin 70a (Arylphorin Hex70a)	Hex70a GB30362 hex71	Apis mellifera (Honeybee)	684
A1XRN2	reviewed	PLIA_METNM	Phospholipase A2 inhibitor anMIP (alpha-PLI) (Myotoxic phospholipase A2 inhibitory protein) (MIP)		Metlapilcoatlus nummifer (Mexican jumping pitviper) (Atropoides nummifer)	166
A2AJB7	reviewed	LCN5_MOUSE	Epididymal-specific lipocalin-5 (Epididymal retinoic acid-binding protein) (E-RABP) (mE-RABP) (Epididymal secretory protein 10) (MEP 10) [Cleaved into: Epididymal-specific lipocalin-5, major form; Epididymal-specific lipocalin-5, minor form]	Lcn5 Mep10	Mus musculus (Mouse)	192
A2VBC4	reviewed	PA1_POLPI	Phospholipase A1 (PLA1) (EC 3.1.1.32) (allergen Poly p 1)		Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	322
A3RF67	reviewed	BAGBG_DALNI	Isoflavonoid 7-O-beta-apiosyl-glucoside beta-glycosidase (EC 3.2.1.161) (Beta-glycosidase)		Dalbergia nigrescens (Thai blackwood)	547
A4VBF0	reviewed	PA2H_VIPNI	Acidic phospholipase A2 inhibitor chain HPD-1I (svPLA2 homolog) (Heterodimeric neurotoxic phospholipases A2 acidic subunit)		Vipera nikolskii (Nikolsky's adder) (Vipera berus nikolskii)	138
A5HAK0	reviewed	RNSL3_DANRE	Ribonuclease-like 3 (RNase ZF-3) (RNase-like 3) (ZF-RNase-3) (EC 3.1.27.-) (Dr-RNase 1) [Cleaved into: N-terminal peptide; LF-ZF3]	rnasel3	Danio rerio (Zebrafish) (Brachydanio rerio)	149
A6MEY4	reviewed	PA2B_BUNFA	Basic phospholipase A2 BFPA (svPLA2) (EC 3.1.1.4) (Antimicrobial phospholipase A2) (Phosphatidylcholine 2-acylhydrolase)		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	145
A6P6V9	reviewed	CBDAS_CANSA	Cannabidiolic acid synthase (CBDA synthase) (EC 1.21.3.8)	CBDAS	Cannabis sativa (Hemp) (Marijuana)	544
A6XMY0	reviewed	ARA1_HYAAR	Arasin 1 (Ara-1) (Proline-rich antimicrobial peptide) (PR-AMP) (Pro-rich AMP)		Hyas araneus (Atlantic lyre crab) (Great spider crab)	64
A8CG78	reviewed	PA2A2_DABSI	Acidic phospholipase A2 DsM-a2/DsM-a2' (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	138
A8CG82	reviewed	PA2B1_DABSI	Basic phospholipase A2 DsM-b1/DsM-b1' (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	138
A8CG86	reviewed	PA2A1_DABRR	Acidic phospholipase A2 Drk-a1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 Drk-a1') (Phospholipase A2-I)		Daboia russelii (Russel's viper) (Vipera russelii)	138
A8CL69	reviewed	PBAN_APIME	PBAN-type neuropeptides (Pheromone/pyrokinin biosynthesis-activating neuropeptide) [Cleaved into: TSQDITSGMWFGPRL-amide (Pyrokinin-1); QITQFTPRL-amide (Pyrokinin-2); IYLPLFASRL-amide; VPWTPSPRL-amide]	PBAN	Apis mellifera (Honeybee)	195
A8E2V8	reviewed	PA2A_TRIGS	Acidic phospholipase A2 Tgc-E6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus gracilis (Kikuchi habu)	139
A8QL52	reviewed	OXLA_BUNFA	L-amino-acid oxidase (Bf-LAAO) (LAO) (EC 1.4.3.2)		Bungarus fasciatus (Banded krait) (Pseudoboa fasciata)	517
B0XT72	reviewed	GEL1_ASPFC	1,3-beta-glucanosyltransferase gel1 (EC 2.4.1.-) (Glucan elongating glucanosyltransferase 1)	gel1 bgt2 AFUB_018250	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	452
B2G331	reviewed	VKT2B_RADCR	TauPI-stichotoxin-Hcr2b (TauPI-SHTX-Hcr2b) (Analgesic polypeptide HC1) (APHC1)		Radianthus crispa (Leathery sea anemone) (Heteractis crispa)	78
B3A003	reviewed	LYS3_CRAVI	Lysozyme 3 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase 3) (Invertebrate-type lysozyme 3) (cv-lysozyme 3)	lysoz3	Crassostrea virginica (Eastern oyster)	187
B7S4N9	reviewed	VKT_OXYSC	Kunitz-type serine protease inhibitor taicotoxin (Taicatoxin, serine protease inhibitor component) (TCX) (TSPI) (Venom protease inhibitor 1) (Venom protease inhibitor 2)		Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan)	88
B7ZS96	reviewed	TTHY_XENLA	Transthyretin (xTTR) (Prealbumin)	ttr	Xenopus laevis (African clawed frog)	153
B8AL97	reviewed	CUCIN_ORYSI	Cupincin (EC 3.4.-.-) (52 kDa globulin-like protein) (allergen Ory s NRA)	OsI_13867	Oryza sativa subsp. indica (Rice)	470
B8JLQ9	reviewed	CBPO_DANRE	Carboxypeptidase O (EC 3.4.17.-)	cpo	Danio rerio (Zebrafish) (Brachydanio rerio)	363
C0H9B6	reviewed	ZPLD1_SALSA	Zona pellucida-like domain-containing protein 1 (ZP domain-containing protein 1) (Cupulin) [Cleaved into: Zona pellucida-like domain-containing protein 1, secreted form]	zpld1	Salmo salar (Atlantic salmon)	413
C0HJM9	reviewed	SCX2_TITFA	Toxin Tf2		Tityus fasciolatus (Central Brazilian scorpion)	84
C0HK27	reviewed	LECA_DIOLA	Lectin (DlyL)		Dioclea lasiophylla	291
C0HKC3	reviewed	PA2B9_AGKPL	Basic phospholipase A2 APL-D49 (svPLA2) (EC 3.1.1.4) (Apl-D49) (AplP3) (Phosphatidylcholine 2-acylhydrolase)		Agkistrodon piscivorus leucostoma (Western cottonmouth) (Acontias leucostoma)	139
C0HKM3	reviewed	HYAL_CONPU	Hyaluronidase conohyal-P1 (EC 3.2.1.35) (Hyaluronoglucosaminidase)		Conus purpurascens (Purple cone)	458
C0HLL2	reviewed	PA2_PITAZ	Phospholipase A2 (EC 3.1.1.4) (Pa-PLA2) (Phosphatidylcholine 2-acylhydrolase)		Pithecopus azureus (Orange-legged monkey tree frog) (Phyllomedusa azurea)	146
C7F6X3	reviewed	IBP_LEUSY	Ice-binding protein (Antifreeze protein) (AFP) (LeIBP)	AFP	Leucosporidium sp. (strain AY30) (Arctic yeast)	261
C7G3K3	reviewed	KBX2_LIOAU	Peptide LaIT2		Liocheles australasiae (Dwarf wood scorpion)	80
C9K4X8	reviewed	GSS_PATPE	Gonad-stimulating substance (Relaxin-like gonad-stimulating peptide) [Cleaved into: Gonad-stimulating substance B chain; Gonad-stimulating substance A chain]	GSS RGP	Patiria pectinifera (Starfish) (Asterina pectinifera)	116
D3GDK4	reviewed	GUN_CRYAT	Endoglucanase (EC 3.2.1.4) (CaCel) (Cellulase) (Endo-beta-1,4-glucanase)		Cryptopygus antarcticus (Antarctic springtail)	225
E0D877	reviewed	APY_AEDAL	Apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ADPase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (allergen Aed al 1)	APY	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	564
E3W9M2	reviewed	AA5GT_DIACA	Cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose) (AA5GT) (Dc AA5GT) (EC 2.4.1.299) (Acyl-glucose-dependent anthocyanin 5-O-glucosytransferase) (Beta-glucosidase like protein) (DcBGLUL)	AA5GT	Dianthus caryophyllus (Carnation) (Clove pink)	502
E7CLP2	reviewed	SX12F_RHOJU	Putative beta-neurotoxin RjAa12f		Rhopalurus junceus (Caribbean blue scorpion)	83
F1N5C8	reviewed	ENPP6_BOVIN	Glycerophosphocholine choline phosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)	ENPP6	Bos taurus (Bovine)	445
F1NSM7	reviewed	OC116_CHICK	Ovocleidin-116 (OC-116)		Gallus gallus (Chicken)	743
F1RRV3	reviewed	THYG_PIG	Thyroglobulin	TG	Sus scrofa (Pig)	2692
F8QN53	reviewed	PA2A2_VIPRE	Acidic phospholipase A2 Vur-PL2B (Vur-PL2) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Vipera renardi (Steppe viper) (Vipera ursinii renardi)	137
F8QN54	reviewed	PA2B_VIPRE	Basic phospholipase A2 vurtoxin (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Vipera renardi (Steppe viper) (Vipera ursinii renardi)	138
G4ZHR2	reviewed	XEG1_PHYSP	Xyloglucan-specific endo-beta-1,4-glucanase 1 (EC 3.2.1.151) (Glycoside hydrolase family 12 protein XEG1) (GH12 protein XEG1)	XEG1 PHYSODRAFT_559651	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	241
G5ED35	reviewed	TTR52_CAEEL	Transthyretin-like protein 52	ttr-52 F11F1.7	Caenorhabditis elegans	135
G8XQX1	reviewed	OXLA_DABRR	L-amino-acid oxidase (DrLAO) (LAAO) (EC 1.4.3.2)		Daboia russelii (Russel's viper) (Vipera russelii)	504
G9I930	reviewed	PA2HB_MICTN	Basic phospholipase A2 homolog MitTx-beta (svPLA2 homolog)		Micrurus tener tener (Texas coral snake)	149
H6U1I8	reviewed	GLIP_TANCI	GDSL lipase (TcGLIP) (EC 3.1.1.-) (Pyrethrin type I synthase)	GLIP	Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	365
I1SB12	reviewed	MNCO_MICNN	Carbohydrate oxidase (EC 1.1.3.-) (EC 1.1.3.5) (Lactose oxidase) (LaO)	MnCO	Microdochium nivale (Pink snow mold) (Lanosa nivalis)	495
I2C090	reviewed	VCO3_OPHHA	Ophiophagus venom factor (OVF) (CVF-like) (Complement C3 homolog) [Cleaved into: OVF alpha chain; OVF gamma chain; OVF beta chain]		Ophiophagus hannah (King cobra) (Naja hannah)	1641
I2G9B4	reviewed	VKT_MACLN	Kunitz-type serine protease inhibitor PIVL		Macrovipera lebetina transmediterranea (Blunt-nosed viper) (Vipera lebetina transmediterranea)	95
I3LGZ3	reviewed	GL15L_PIG	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)	GPR15LG GPR15L	Sus scrofa (Pig)	81
J7H670	reviewed	OXLA_LACMT	L-amino acid oxidase Lm29 (LmLAAO) (LAO) (EC 1.4.3.2)		Lachesis muta (South American bushmaster)	516
K9IMD0	reviewed	TRLF_DESRO	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Draculin) (Draculin-1)	LTF	Desmodus rotundus (Vampire bat)	708
K9L4P7	reviewed	GOX_PENCH	Glucose oxidase (GOD) (GOX) (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase)	GOD	Penicillium chrysogenum (Penicillium notatum)	604
M1MR49	reviewed	JAP_RHIAP	Japanin (18 kDa immune-modulatory lipocalin) (Cholesterol binding protein)		Rhipicephalus appendiculatus (Brown ear tick)	176
O00092	reviewed	PHYA_ASPFU	Phytase A (EC 3.1.3.-) (EC 3.1.3.8) (Histidine acid phosphatase phyA) (HAP) (Myo-inositol hexakisphosphate phosphohydrolase A) (Myo-inositol-hexaphosphate 3-phosphohydrolase A)	phyA phyA3 AFUA_4G08630	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	465
O00100	reviewed	PHYA2_ASPTE	Phytase A (EC 3.1.3.-) (EC 3.1.3.8) (Histidine acid phosphatase phyA) (HAP) (Myo-inositol hexakisphosphate phosphohydrolase A) (Myo-inositol-hexaphosphate 3-phosphohydrolase A)	phyA	Aspergillus terreus	466
O00175	reviewed	CCL24_HUMAN	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)	CCL24 MPIF2 SCYA24	Homo sapiens (Human)	119
O00206	reviewed	TLR4_HUMAN	Toll-like receptor 4 (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839
O00300	reviewed	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TNFRSF11B OCIF OPG	Homo sapiens (Human)	401
O00478	reviewed	BT3A3_HUMAN	Butyrophilin subfamily 3 member A3	BTN3A3 BTF3	Homo sapiens (Human)	584
O00585	reviewed	CCL21_HUMAN	C-C motif chemokine 21 (6Ckine) (Beta-chemokine exodus-2) (Secondary lymphoid-tissue chemokine) (SLC) (Small-inducible cytokine A21)	CCL21 SCYA21 UNQ784/PRO1600	Homo sapiens (Human)	134
O00602	reviewed	FCN1_HUMAN	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326
O00626	reviewed	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)	93
O00748	reviewed	EST2_HUMAN	Cocaine esterase (EC 3.1.1.84) (Carboxylesterase 2) (CE-2) (hCE-2) (EC 3.1.1.1) (Methylumbelliferyl-acetate deacetylase 2) (EC 3.1.1.56)	CES2 ICE	Homo sapiens (Human)	559
O01949	reviewed	ALL3_AEDAE	Aegyptin (30 kDa salivary gland allergen Aed a 3) (allergen Aed a 3)	AAEL010235	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	273
O02839	reviewed	MCP_PIG	Membrane cofactor protein (CD antigen CD46)	CD46 MCP	Sus scrofa (Pig)	363
O02853	reviewed	PTGDS_BOVIN	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2)	PTGDS	Bos taurus (Bovine)	191
O08523	reviewed	TECTA_MOUSE	Alpha-tectorin	Tecta	Mus musculus (Mouse)	2155
O08795	reviewed	GLU2B_MOUSE	Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH)	Prkcsh	Mus musculus (Mouse)	521
O09049	reviewed	REG3G_MOUSE	Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 3) (Regenerating islet-derived protein III-gamma) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form]	Reg3g Pap3	Mus musculus (Mouse)	174
O09165	reviewed	CASQ1_MOUSE	Calsequestrin-1 (Calmitine) (Calsequestrin, skeletal muscle isoform)	Casq1	Mus musculus (Mouse)	405
O13547	reviewed	CCW14_YEAST	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238
O14625	reviewed	CXL11_HUMAN	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)	94
O14763	reviewed	TR10B_HUMAN	Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262)	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186	Homo sapiens (Human)	440
O14773	reviewed	TPP1_HUMAN	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563
O14786	reviewed	NRP1_HUMAN	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	NRP1 NRP VEGF165R	Homo sapiens (Human)	923
O14791	reviewed	APOL1_HUMAN	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	APOL1 APOL	Homo sapiens (Human)	398
O14798	reviewed	TR10C_HUMAN	Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263)	TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366	Homo sapiens (Human)	259
O15197	reviewed	EPHB6_HUMAN	Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6)	EPHB6	Homo sapiens (Human)	1021
O15455	reviewed	TLR3_HUMAN	Toll-like receptor 3 (CD antigen CD283)	TLR3	Homo sapiens (Human)	904
O15467	reviewed	CCL16_HUMAN	C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16)	CCL16 ILINCK NCC4 SCYA16	Homo sapiens (Human)	120
O18330	reviewed	MRJP1_APIME	Major royal jelly protein 1 (56-kDa protein 4) (p56kP-4) (Apalbumin 1) (Apisin subunit MRJP1) (Bee-milk protein) (Royal jelly protein RJP57-3) (RJP-3) (Royalactin) [Cleaved into: Jellein-1 (Jelleine-I); Jellein-2 (Jelleine-II); Jellein-4 (Jelleine-IV)]	Mrjp1 GB14888	Apis mellifera (Honeybee)	432
O18998	reviewed	DNAS1_RABIT	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I)	DNASE1 DNL1	Oryctolagus cuniculus (Rabbit)	281
O35310	reviewed	HS3S1_MOUSE	Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (Heparan sulfate 3-O-sulfotransferase 1)	Hs3st1 3ost 3ost1	Mus musculus (Mouse)	311
O35314	reviewed	SCG1_RAT	Secretogranin-1 (Chromogranin-B) (CgB) (Glucagonoma peptide) (Secretogranin-I) (SgI) [Cleaved into: PE-11; CCB peptide short form; CCB peptide long form]	Chgb	Rattus norvegicus (Rat)	675
O35701	reviewed	MATN3_MOUSE	Matrilin-3	Matn3	Mus musculus (Mouse)	481
O35744	reviewed	CHIL3_MOUSE	Chitinase-like protein 3 (EC 3.2.1.52) (Beta-N-acetylhexosaminidase Ym1) (Chitinase-3-like protein 3) (ECF-L) (Eosinophil chemotactic cytokine) (Secreted protein Ym1)	Chil3 Chi3l3 Ym1	Mus musculus (Mouse)	398
O42414	reviewed	NFASC_CHICK	Neurofascin	NFASC	Gallus gallus (Chicken)	1369
O42446	reviewed	DNAS1_OREMO	Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I)	dnase1	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	284
O42807	reviewed	FAEA_ASPNG	Feruloyl esterase A (EC 3.1.1.73) (Cinnamoyl esterase) (FAE-III) (Ferulic acid esterase A)	faeA	Aspergillus niger	281
O43155	reviewed	FLRT2_HUMAN	Leucine-rich repeat transmembrane protein FLRT2 (Fibronectin-like domain-containing leucine-rich transmembrane protein 2)	FLRT2 KIAA0405 UNQ232/PRO265	Homo sapiens (Human)	660
O43278	reviewed	SPIT1_HUMAN	Kunitz-type protease inhibitor 1 (Hepatocyte growth factor activator inhibitor type 1) (HAI-1)	SPINT1 HAI1 UNQ223/PRO256	Homo sapiens (Human)	529
O43291	reviewed	SPIT2_HUMAN	Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin)	SPINT2 HAI2 KOP	Homo sapiens (Human)	252
O43653	reviewed	PSCA_HUMAN	Prostate stem cell antigen	PSCA UNQ206/PRO232	Homo sapiens (Human)	114
O43827	reviewed	ANGL7_HUMAN	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	ANGPTL7 CDT6 UNQ313/PRO356	Homo sapiens (Human)	346
O43852	reviewed	CALU_HUMAN	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	Homo sapiens (Human)	315
O43866	reviewed	CD5L_HUMAN	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	CD5L API6 UNQ203/PRO229	Homo sapiens (Human)	347
O46166	reviewed	TXI1_ERAAG	U1-agatoxin-Ta1a (U1-AGTX-Ta1a) (Insecticidal toxin 1) (TaITX-1)		Eratigena agrestis (Hobo spider) (Tegenaria agrestis)	68
O54766	reviewed	ZP1_RAT	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	Zp1	Rattus norvegicus (Rat)	617
O54767	reviewed	ZP2_RAT	Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2]	Zp2 Zpa	Rattus norvegicus (Rat)	695
O54861	reviewed	SORT_RAT	Sortilin (Glycoprotein 110) (Gp110) (Neurotensin receptor 3) (NTR3)	Sort1	Rattus norvegicus (Rat)	825
O55038	reviewed	CXL13_MOUSE	C-X-C motif chemokine 13 (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	Cxcl13 Blc Scyb13	Mus musculus (Mouse)	109
O55232	reviewed	OREX_RAT	Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	Hcrt Ox Ppox	Rattus norvegicus (Rat)	130
O55245	reviewed	TTHY_CROPO	Transthyretin (crocTTR) (Prealbumin)	TTR	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	150
O57385	reviewed	PA2H_DEIAC	Basic phospholipase A2 homolog acutohaemolysin (svPLA2 homolog) (Dac-K49)		Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	138
O60449	reviewed	LY75_HUMAN	Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205)	LY75 CD205 CLEC13B	Homo sapiens (Human)	1722
O60565	reviewed	GREM1_HUMAN	Gremlin-1 (Cell proliferation-inducing gene 2 protein) (Cysteine knot superfamily 1, BMP antagonist 1) (DAN domain family member 2) (Down-regulated in Mos-transformed cells protein) (Increased in high glucose protein 2) (IHG-2)	GREM1 CKTSF1B1 DAND2 DRM PIG2	Homo sapiens (Human)	184
O60602	reviewed	TLR5_HUMAN	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	TLR5 TIL3	Homo sapiens (Human)	858
O60609	reviewed	GFRA3_HUMAN	GDNF family receptor alpha-3 (GDNF receptor alpha-3) (GDNFR-alpha-3) (GFR-alpha-3)	GFRA3 UNQ339/PRO538/PRO3664	Homo sapiens (Human)	400
O60721	reviewed	NCKX1_HUMAN	Sodium/potassium/calcium exchanger 1 (Na(+)/K(+)/Ca(2+)-exchange protein 1) (Retinal rod Na-Ca+K exchanger) (Solute carrier family 24 member 1)	SLC24A1 KIAA0702 NCKX1	Homo sapiens (Human)	1099
O60844	reviewed	ZG16_HUMAN	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (hZG16) (Secretory lectin ZG16)	ZG16	Homo sapiens (Human)	167
